experiment,config_name,category,stack_types,period,frequency,forecast_length,backcast_length,n_stacks,n_blocks_per_stack,share_weights,run,seed,smape,mase,mae,mse,owa,norm_mae,norm_mse,n_params,training_time_seconds,epochs_trained,active_g,sum_losses,activation,stopping_reason,best_val_loss,final_val_loss,final_train_loss,best_epoch,loss_ratio,diverged,val_loss_curve,search_round,block_type,backbone_family,wavelet_family,active_g_cfg,meta_predicted_best,meta_convergence_score
lg_vae_search_r1_baseline,GenericAELG,pure_lg_vae,['GenericAELG'],Tourism-Yearly,1,4,8,16,1,True,0,42,34.266842,6.531955,110024.890625,837727682560.000000,nan,2.921957,99.813034,2277504,0.94,10,False,False,ReLU,MAX_EPOCHS,39.05368805,39.05368805,50.44617081,9,1.000000,False,"[""134.86613464"", ""77.02931213"", ""39.52943802"", ""57.51121521"", ""67.63224030"", ""64.78253937"", ""56.11346817"", ""47.85427856"", ""42.15311050"", ""39.05368805""]",1,GenericAELG,LG,,False,39.529438,0.293101
lg_vae_search_r1_baseline,GenericAELG,pure_lg_vae,['GenericAELG'],Tourism-Yearly,1,4,8,16,1,True,1,43,71.731499,9.145404,161360.953125,2513982717952.000000,nan,3.889863,127.577782,2277504,1.00,10,False,False,ReLU,MAX_EPOCHS,75.73038483,76.88127136,82.60458374,8,1.015197,False,"[""165.63919067"", ""129.98251343"", ""91.61135864"", ""84.99779510"", ""93.17028046"", ""91.99387360"", ""85.52259064"", ""78.17704010"", ""75.73038483"", ""76.88127136""]",1,GenericAELG,LG,,False,84.997795,0.513150
lg_vae_search_r1_baseline,GenericAELG,pure_lg_vae,['GenericAELG'],Tourism-Yearly,1,4,8,16,1,True,2,44,33.031292,6.563790,116772.398438,1062993985536.000000,nan,2.944925,111.059395,2277504,0.51,10,False,False,ReLU,MAX_EPOCHS,35.46118546,35.46118546,48.21699142,9,1.000000,False,"[""153.58679199"", ""109.46896362"", ""82.37866974"", ""94.65689850"", ""100.46611023"", ""90.06951904"", ""69.96727753"", ""52.44997787"", ""40.52779007"", ""35.46118546""]",1,GenericAELG,LG,,False,82.378670,0.536366
lg_vae_search_r1_baseline,BottleneckGenericAELG,pure_lg_vae,['BottleneckGenericAELG'],Tourism-Yearly,1,4,8,16,1,True,0,42,73.044991,8.674293,190446.703125,2642095112192.000000,nan,3.497822,53.083397,2221200,0.61,10,False,False,ReLU,MAX_EPOCHS,77.21685028,77.21685028,81.60557556,9,1.000000,False,"[""152.79312134"", ""112.53435516"", ""81.76648712"", ""80.73725128"", ""88.81755829"", ""90.26422119"", ""86.43290710"", ""80.59465027"", ""77.51650238"", ""77.21685028""]",1,BottleneckGenericAELG,LG,,False,80.462406,0.526610
lg_vae_search_r1_baseline,BottleneckGenericAELG,pure_lg_vae,['BottleneckGenericAELG'],Tourism-Yearly,1,4,8,16,1,True,1,43,114.488876,13.723189,319350.125000,6633029107712.000000,nan,5.380893,101.443428,2221200,0.52,10,False,False,ReLU,MAX_EPOCHS,115.14502716,115.14502716,121.15979004,9,1.000000,False,"[""170.00791931"", ""142.71571350"", ""120.10874939"", ""118.57965851"", ""123.77078247"", ""124.43811798"", ""121.91416168"", ""120.08348846"", ""118.17720032"", ""115.14502716""]",1,BottleneckGenericAELG,LG,,False,118.579659,0.697495
lg_vae_search_r1_baseline,BottleneckGenericAELG,pure_lg_vae,['BottleneckGenericAELG'],Tourism-Yearly,1,4,8,16,1,True,2,44,71.094124,8.352391,181897.046875,2979360407552.000000,nan,3.359715,52.687351,2221200,0.43,10,False,False,ReLU,MAX_EPOCHS,78.35179901,80.08401489,89.63986969,3,1.022108,False,"[""166.71287537"", ""135.14366150"", ""101.03374481"", ""78.35179901"", ""81.59480286"", ""88.38227081"", ""89.40390015"", ""86.56118011"", ""84.19229126"", ""80.08401489""]",1,BottleneckGenericAELG,LG,,False,76.054886,0.456203
lg_vae_search_r1_baseline,GenericAEBackcastAELG,pure_lg_vae,['GenericAEBackcastAELG'],Tourism-Yearly,1,4,8,16,1,True,1,43,36.677917,6.217927,101069.375000,502310993920.000000,nan,2.625434,38.899307,2376416,0.51,10,False,False,ReLU,MAX_EPOCHS,40.92309952,41.86179352,55.88768768,3,1.022938,False,"[""162.21969604"", ""116.30680847"", ""69.17620850"", ""40.92309952"", ""48.98702621"", ""58.13219070"", ""59.20975113"", ""55.62025833"", ""49.07188797"", ""41.86179352""]",1,GenericAEBackcastAELG,LG,,False,40.923100,0.252270
lg_vae_search_r1_baseline,GenericAEBackcastAELG,pure_lg_vae,['GenericAEBackcastAELG'],Tourism-Yearly,1,4,8,16,1,True,0,42,35.363010,5.887911,95751.578125,446980063232.000000,nan,2.516917,34.719337,2376416,0.58,10,False,False,ReLU,MAX_EPOCHS,40.06374741,45.95623779,56.95890045,3,1.147078,False,"[""158.55387878"", ""115.67871857"", ""69.70123291"", ""40.06374741"", ""50.11592102"", ""58.67848969"", ""57.43886948"", ""52.54539871"", ""50.80689621"", ""45.95623779""]",1,GenericAEBackcastAELG,LG,,False,40.063747,0.252682
lg_vae_search_r1_baseline,GenericAEBackcastAELG,pure_lg_vae,['GenericAEBackcastAELG'],Tourism-Yearly,1,4,8,16,1,True,2,44,78.049934,10.637111,239605.968750,3979549605888.000000,nan,4.347267,83.644783,2376416,0.51,10,False,False,ReLU,MAX_EPOCHS,79.87097931,79.87097931,86.45462036,9,1.000000,False,"[""145.05123901"", ""104.20722961"", ""79.88683319"", ""87.08508301"", ""93.50061035"", ""93.29343414"", ""89.54705811"", ""84.79875946"", ""82.13385010"", ""79.87097931""]",1,GenericAEBackcastAELG,LG,,False,79.886833,0.550749
lg_vae_search_r1_baseline,AutoEncoderAELG,pure_lg_vae,['AutoEncoderAELG'],Tourism-Yearly,1,4,8,16,1,True,0,42,38.008205,6.553145,103141.328125,406916628480.000000,nan,2.805197,38.700684,2417040,0.58,10,False,False,ReLU,MAX_EPOCHS,36.12517548,45.17093658,46.07670212,7,1.250400,False,"[""175.63618469"", ""137.06114197"", ""76.02827454"", ""39.94240570"", ""56.39765930"", ""57.19789124"", ""46.95837021"", ""36.12517548"", ""39.10106277"", ""45.17093658""]",1,AutoEncoderAELG,LG,,False,39.942406,0.227416
