experiment,config_name,category,stack_types,period,frequency,forecast_length,backcast_length,n_stacks,n_blocks_per_stack,share_weights,run,seed,smape,mase,mae,mse,owa,norm_mae,norm_mse,n_params,training_time_seconds,epochs_trained,active_g,sum_losses,activation,stopping_reason,best_val_loss,final_val_loss,final_train_loss,best_epoch,loss_ratio,diverged,val_loss_curve,search_round,basis_dim,basis_offset,trend_thetas_dim_cfg,wavelet_family,bd_label,latent_dim_cfg,meta_predicted_best,meta_convergence_score
wavelet_v3ae_search_r1,Haar_eq_fcast_ttd3_ld16,wavelet_v3ae_search,"['TrendAELG', 'HaarWaveletV3AELG']",Tourism-Yearly,1,4,8,10,1,True,0,42,28.916594,4.429735,138103.843750,1651483082752.000000,nan,2.034420,30.610710,928335,5.43,10,False,False,ReLU,MAX_EPOCHS,31.63707352,31.63707352,39.97380066,9,1.000000,False,"[""132.27314758"", ""93.71987915"", ""63.29467392"", ""42.06530380"", ""33.41151047"", ""35.37324524"", ""36.81118774"", ""35.12603760"", ""32.43092728"", ""31.63707352""]",1,4,0,3,HaarWaveletV3AELG,eq_fcast,16,29.71330926,0.22463599
wavelet_v3ae_search_r1,Haar_eq_fcast_ttd3_ld16,wavelet_v3ae_search,"['TrendAELG', 'HaarWaveletV3AELG']",Tourism-Yearly,1,4,8,10,1,True,1,43,29.684582,4.515232,116091.929688,978446450688.000000,nan,1.961981,20.132187,928335,1.86,10,False,False,ReLU,MAX_EPOCHS,31.48059464,31.48059464,40.85029221,9,1.000000,False,"[""143.35986328"", ""101.04635620"", ""68.53410339"", ""45.04922485"", ""34.34300995"", ""35.67504120"", ""37.88279724"", ""36.73035431"", ""33.66658401"", ""31.48059464""]",1,4,0,3,HaarWaveletV3AELG,eq_fcast,16,29.78103666,0.20773622
wavelet_v3ae_search_r1,Haar_eq_fcast_ttd3_ld16,wavelet_v3ae_search,"['TrendAELG', 'HaarWaveletV3AELG']",Tourism-Yearly,1,4,8,10,1,True,2,44,30.550098,4.731812,130947.554688,1271056171008.000000,nan,2.135807,27.831423,928335,1.91,10,False,False,ReLU,MAX_EPOCHS,31.45495415,31.45495415,43.01111221,9,1.000000,False,"[""144.82713318"", ""103.93518066"", ""70.51007080"", ""45.80283356"", ""33.91878128"", ""37.28003693"", ""40.87749481"", ""39.50034332"", ""35.32423019"", ""31.45495415""]",1,4,0,3,HaarWaveletV3AELG,eq_fcast,16,30.91801517,0.21348220
wavelet_v3ae_search_r1,Haar_eq_fcast_ttd5_ld16,wavelet_v3ae_search,"['TrendAELG', 'HaarWaveletV3AELG']",Tourism-Yearly,1,4,8,10,1,True,0,42,31.374788,5.086086,135943.328125,1429375287296.000000,nan,2.362896,39.121593,930905,2.05,10,False,False,ReLU,MAX_EPOCHS,32.37156677,32.37156677,43.17636490,9,1.000000,False,"[""156.22222900"", ""118.83348083"", ""84.72497559"", ""56.26488495"", ""38.08821869"", ""35.58976746"", ""38.48719788"", ""38.03802490"", ""34.92126846"", ""32.37156677""]",1,4,0,5,HaarWaveletV3AELG,eq_fcast,16,29.43843226,0.18843946
wavelet_v3ae_search_r1,Haar_eq_fcast_ttd5_ld16,wavelet_v3ae_search,"['TrendAELG', 'HaarWaveletV3AELG']",Tourism-Yearly,1,4,8,10,1,True,1,43,28.031830,4.165868,138841.515625,1639930134528.000000,nan,1.872437,27.033403,930905,2.26,10,False,False,ReLU,MAX_EPOCHS,31.74003410,31.74003410,39.48233795,9,1.000000,False,"[""159.90686035"", ""119.24826050"", ""85.23723602"", ""58.66879272"", ""41.93852997"", ""35.98944855"", ""36.09814453"", ""34.78930283"", ""32.09679031"", ""31.74003410""]",1,4,0,5,HaarWaveletV3AELG,eq_fcast,16,29.48006857,0.18435775
wavelet_v3ae_search_r1,Haar_eq_fcast_ttd5_ld16,wavelet_v3ae_search,"['TrendAELG', 'HaarWaveletV3AELG']",Tourism-Yearly,1,4,8,10,1,True,2,44,28.504726,4.372363,130801.343750,1434074480640.000000,nan,1.994389,28.189724,930905,1.89,10,False,False,ReLU,MAX_EPOCHS,31.42510605,31.42510605,39.98975754,9,1.000000,False,"[""139.73077393"", ""99.36487579"", ""67.19906616"", ""44.09457397"", ""33.99894714"", ""36.21035385"", ""38.14229202"", ""35.92473221"", ""32.28229904"", ""31.42510605""]",1,4,0,5,HaarWaveletV3AELG,eq_fcast,16,30.34409955,0.21716118
wavelet_v3ae_search_r1,Haar_lt_fcast_ttd3_ld16,wavelet_v3ae_search,"['TrendAELG', 'HaarWaveletV3AELG']",Tourism-Yearly,1,4,8,10,1,True,0,42,34.388554,5.512298,162833.984375,2324724187136.000000,nan,2.511996,48.537571,918095,2.22,10,False,False,ReLU,MAX_EPOCHS,37.29109955,37.29109955,46.53734589,9,1.000000,False,"[""152.98709106"", ""116.18989563"", ""86.51716614"", ""63.71295166"", ""49.96804810"", ""46.69852066"", ""46.64774323"", ""44.76302338"", ""41.16993332"", ""37.29109955""]",1,2,0,3,HaarWaveletV3AELG,lt_fcast,16,40.91778885,0.26745909
wavelet_v3ae_search_r1,Haar_lt_fcast_ttd3_ld16,wavelet_v3ae_search,"['TrendAELG', 'HaarWaveletV3AELG']",Tourism-Yearly,1,4,8,10,1,True,1,43,33.374069,5.142987,168140.625000,2505372073984.000000,nan,2.316039,43.956161,918095,1.96,10,False,False,ReLU,MAX_EPOCHS,35.83707428,35.83707428,44.83787155,9,1.000000,False,"[""149.35745239"", ""111.81943512"", ""83.06358337"", ""61.88036346"", ""49.15567780"", ""46.05965805"", ""45.60359573"", ""43.33370972"", ""39.58634567"", ""35.83707428""]",1,2,0,3,HaarWaveletV3AELG,lt_fcast,16,40.53075701,0.27136749
wavelet_v3ae_search_r1,Haar_lt_fcast_ttd3_ld16,wavelet_v3ae_search,"['TrendAELG', 'HaarWaveletV3AELG']",Tourism-Yearly,1,4,8,10,1,True,2,44,33.641388,5.268855,163961.843750,2439144538112.000000,nan,2.434184,49.147087,918095,1.96,10,False,False,ReLU,MAX_EPOCHS,38.68863678,38.68863678,47.25913239,9,1.000000,False,"[""153.87078857"", ""119.36770630"", ""89.54562378"", ""66.57207489"", ""53.31729507"", ""49.10842133"", ""47.90183258"", ""45.34812164"", ""41.50059509"", ""38.68863678""]",1,2,0,3,HaarWaveletV3AELG,lt_fcast,16,43.39303520,0.28200957
wavelet_v3ae_search_r1,Haar_lt_fcast_ttd5_ld16,wavelet_v3ae_search,"['TrendAELG', 'HaarWaveletV3AELG']",Tourism-Yearly,1,4,8,10,1,True,0,42,34.041100,5.428963,163697.937500,2468287873024.000000,nan,2.492164,49.816170,920665,2.01,10,False,False,ReLU,MAX_EPOCHS,36.79893494,36.79893494,45.82580566,9,1.000000,False,"[""142.10478210"", ""107.93471527"", ""79.64919281"", ""58.91416168"", ""47.56948090"", ""45.96688461"", ""46.00943375"", ""44.02442932"", ""40.44386673"", ""36.79893494""]",1,2,0,5,HaarWaveletV3AELG,lt_fcast,16,40.61475090,0.28580847
